"","Log","Cluster"
"417","RT @JackReach: ""@ESPN_FirstTake: Who do you have winning the NFC East?"" Redskins",9
"418","RT @IamBigCherry: Redskins ""@ESPN_FirstTake: Who do you have winning the NFC East?""",9
"419","@ESPN_FirstTake RGIII and the Redskins",9
"420","[Trending on Google] * merry Christmas * Happy Holidays * NFL playoff picture * Dallas Cowboys * Russell Wilson * Sound of Music * Bruno...",4
"421","Rob Ryan's pre-game meal from yesterday. #Redskins #Cowboys http://t.co/ZV88ckmo",6
"422","@ESPN_FirstTake Redskins & i'm a GMEN fan!",9
"423","Philly yesterday for the Redskins W, stopped by Harrahs won $300, and now I wanna go to Charles Town",6
"424","RT @hhbmel: @ESPN_FirstTake #RedSkins",9
"425","RT @All4daFam: Seriously the @Redskins has made this a holiday season to remember, what a run! #proudfan #HTTR #RedskinNation",7
"426","#Redskins  gotta support the team http://t.co/qx9OVZXh",6
"427","@ESPN_FirstTake redskins!!!! RGIII all day",9
"428","RT @AggieJay_412: RT @ESPN_FirstTake: Who do you have winning the NFC East? @Redskins will win it",9
"429","@BryanBroaddus No Murray first time around with these clowns (Redskins), I think he's the difference maker.",6
"430","@daniasis1 hope it's a boring game - a Redskins blowout!",6
"431","I'm gonna have to be a Redskins fan this week.",1
"432","@Tommy_Pascoe Looks like it's an all or nothing match vs Cowboys next week mate. Shame it's the 1am match though! #Redskins",5
"433","“@flact75: @BryanBroaddus No Murray first time around with these clowns (Redskins), I think he's the difference maker.” If coach uses him.",6
"434","@SimoneBett @MShawnPage @warriorheart88 @NYCSkinsFans @tkcottrell32 @HumbleTip @MODELNY @DeucePage2 @SmurfRenee @Redskins Merry Christmas!",6
"435","You know it big dawg RT @PhillipDaniels: Game flexed to 8:30pm next Sunday. #Redskins fans gonna be (cont) http://t.co/T8FybqeS",6
"436","RT @GoVolsXtra: Cowboys' Witten sets NFL record for TE catches  http://t.co/JmeBglqE",6
"437","@espn_firsttake REDSKINS!!! RG3 is gonna wreak havoc all on the Cowboys...",9
"438","Redskins outlast lowly Eagles as RG III returns http://t.co/GepIfOq5 #NFL #Football",8
"439","After earlier losses, Redskins finally pull out a close one http://t.co/qTwWduee",6
"440","ESPN - Redskins outlast lowly Eagles as RG III returns http://t.co/Ms6vTld4 #NFL",8
"441","Eagles fall a few yards and 1 second short in 27-20 loss to Redskins http://t.co/PlwqGtsm via @ACPressTopNews",6
"442","That's right! Hehe! ESPN NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET",10
"443","Redskins outlast lowly Eagles as RG III returns http://t.co/uIsvNyAo #NFL",8
"444","http://t.co/7MixaGRF Redskins outlast lowly Eagles as RG III returns: Robert Griffin III thr... http://t.co/xvRztFxk http://t.co/i2bxlLCH",8
"445","Redskins outlast lowly Eagles as RG III returns http://t.co/mC0M9d2O #espn",8
"446","#RedskinNation @Redskins did their part now it's time for us to do ours!!! Get FedEx rockin bring the noise!!!!#HTTR",6
"447","#WinAndIn #HTTR #Redskins 6 down 1 to go. Merry Griffmas Eve",7
"448","#HTTR #RedskinsNation #Skins #Redskins http://t.co/pzM7gKMS",7
"449","Sunday's NFL roundup: PHILADELPHIA (AP)  Counted out by their own coach six weeks ago, the Washington Redskins and... http://t.co/Mgn6L4Wv",6
"450","For those that missed it, #Redskins Cowboys got flexed to Sunday Night Football.",10
"451","Should I care if the Redskins/Cowboys game move to Sunday Night?! I hate both those teams...",10
"452","Should've bought tickets to the Redskins vs Cowboys game last month -___-",6
"453","@bshine2320 @marrsrule winner of redskins/cowboys game wins division. Loser is out.",6
"454","“@Andy_Siegel: Genuinely excited for the #Redskins vs #Cowboys game Sunday.” I'm already getting chills.",6
"455","There’s only one team that didn’t lose in the NFC East #Redskins",6
"456","I'm talking Redskins right now on @ESPNRadio980. Listen live at http://t.co/oigS8xLa",6
"457","Redskins outlast lowly Eagles as RG III returns http://t.co/WYD7U40l",8
"458","@ESPN_FirstTake @Redskins will take care of them Boys on Sunday night",9
"459","RG3 leads Redskins over Eagles 27-20: With one more win, Robert Griffin III can be called a playoff quarterback. *... http://t.co/1aMxj3Jd",6
"460","Won 10 dollars today thanks to the Redskins",6
"461","Definitely take the forgotten man Russell Wilson over RGIII and Luckstrong #nfl #rookieoftheyear",6
"462","Redskins r in a new era baby",6
"463","Cowboys will beat the Redskins you can Book It",1
"464","Redskins vs. Eagles, Week 16: Washington victory sets up showdown vs. Dallas http://t.co/IO58lrL8",6
"465","Eagles Vs. Redskins: Gold Stars And Demerits http://t.co/q92TPVI1 #philly",6
"466","1. merry Christmas (★New) 2. Happy Holidays (↓) 3. NFL playoff picture (↓) 4. Dallas Cowboys (↓) 5. Russell Wilson (↓)  #Trend",4
"467","Here's who 
Should win awards #roy r wilson. MVP Peterson. Cpoy manning. Who will win rg3. MVP   Manning cpoy Peterson. #nfl",6
"468","@Alphax45  The NFL confirms Dallas vs. Washington on Sunday night. Miami vs. New England and Green Bay vs. Minnesota both moved to 4:25.",10
"469","What a tantalizing potential Wild Card game - Seattle at Washington. How many playoff games have had two rookie starting QBs? #NFL",6
"470","RT @CTeimouri: Redskins and Cowboys game is going to be a 8:20 game on Sunday night....Who's ready for a Sunday Night showdown in DC for ...",10
"471","@john_keim If @Redskins beat Dallas and win the east, if we are going to make a run deep in playoffs. We will need to score ALOT",1
"472","#SPORTS #ESPN | Redskins outlast lowly Eagles as RG III returns http://t.co/gYKtn78V | #NFL > @HCP520",8
"473","#SPORTS #ESPN | Redskins outlast lowly Eagles as RG III returns http://t.co/cjsDfooh | #NFL > @HCP520",8
"474","#SPORTS #ESPN | Redskins outlast lowly Eagles as RG III returns http://t.co/7XFkdMrx | #NFL > @HCP520",8
"475","#SPORTS #ESPN | Redskins outlast lowly Eagles as RG III returns http://t.co/1AtkS1jE | #NFL > @HCP520",8
"476","#SPORTS #ESPN | Redskins outlast lowly Eagles as RG III returns http://t.co/nAb51zT3 | #NFL > @HCP520",8
"477","#Redskins #HTTR RT @ESPN_FirstTake: Who do you have winning the NFC East?",9
"478","NFL Playoff Picture Scenarios — Final AFC Seeds: NFL playoff picture: Redskins in control with win, Cowboys loss... http://t.co/ZkC3zUCB",6
"479","Redskins on the cusp http://t.co/asuJYDHE",6
"480","@twinmadden @JoelMadden Hail To The Redskins :)",6
"481","Redskins win on #RG3 return under center 27-20 http://t.co/q4z6d7PW",6
"482","""@ESPN_FirstTake: Who do you have winning the NFC East?"" #redskins no question",9
"483","Cowboys receive reprieve for Redskins showdown:  ARLINGTON, Texas — Considering what has already tran... http://t.co/BcTJfhA6 #BH_Sports",6
"484","E ovviamente la NFL mi sposta Redskins vs Cowboys al Sunday Night Football. Va bene, vorra' dire che me la vedrò comodo al 31 dicembre.",6
"485","@SocialMediaRocs I think RGIII wanted to prove that he could win games from the pocket just as Kirk did my favorite REDSKINS sis!!!!",5
"486","RT @EllettIV: Redskins 1 win away from winning the NFC EAST!!!!! Lets go skins!!!! #HTTR",7
"487","@GaryEllerson Seattle, Packers ,Redskins",6
"488","How bout them redskins though?!",6
"489","Merry Griffmas to all!!! #REDSKINS",6
"490","@BlaineStewart REDSKINS BABY!!!!",6
"491","Eagles < Giants < Cowboys < Redskins #NFCEastMath",6
"492","@UKCowboysFans @gazjor1 @bthesportsguy @ssgtflo1 @truebluenation1 the Redskins ain't no Saints though. We ended well last time v RG3.",6
"493","@loneriderbeer going to need to Cheers and good luck with Redskins outlaw offense Sunday 8:20pm @kickstandCLT vs Dallas for NFC East Crown..",6
"494","@ESPN_FirstTake Washington Redskins For Sure",9
"495","Read my new blog entry  http://t.co/9hyj607w #HTTR #Redskins #Cowboys",7
"496","RG3 leads Redskins over Eagles 27-20: With one more win, Robert Griffin III can be called a playoff... http://t.co/YPquM7MO #Dolphins #NFL",6
"497","RT @VORNado21: Merry Griffmas to all!!! #REDSKINS",6
"498","RT @Rich_Campbell: My initial thoughts & observations about the Redskins' 27-20 win over Philly, including playoff scenarios: http:/ ...",6
"499","RT @CowboysBrasil: Está confirmado: Cowboys x Redskins será o Sunday Night Football da semana que vem. Mesmíssimo cenário do ano passado ...",6
"500","How Do You Spell Relief..Football, Washington Redskins Win, Winning Spells it..Oh Yeah What is Cowboys Doing Just Bringing Me More Relief..",5
"501","RT @kenfb: Classic Red Zone Sunday action with @jhfabian & @mfab  #redzone #redskins http://t.co/59g7Rkk7",6
"502","Dallas week hasn't mattered since I was in high school. For reference, neither has MC Hammer. #Redskins",6
"503","FB Cards @ Amazon: Robert Griffin III Redskins 2012 Topps Football #340 RG3 Rookie Card PGI 10- $29.99 - http://t.co/LWSJZa09",6
"504","#Eagles fall short against #Redskins, 27-20. @ZBerm has it all here in his game story: http://t.co/h934UMpN",6
"505","For the #Redskins, it's simple - #BeatDallas | http://t.co/k8woTR6H",6
"506","So, if it goes to OT like DAL-NO, NFL wont blackout OT. How nice #bonestupidrule RT @Rotoworld_FB: Cowboys-Redskins flexed to SNF in Week 17",5
"507","@KDTrey5 can I get a rt for them redskins!!! Winning 6 straight",6
"508","Redskins. Cowboys. For the division. Win or go home. Sunday night. Primetime. #AreYouNotEntertained???",10
"509","Redskins outlast lowly Eagles as RG III returns http://t.co/IkJqAiC9",8
"510","Merry Griffmas Eve @Redskins!!!! #HTTR",7
"511","RGIII safe but effective as Redskins top Eagles http://t.co/u4CSjOoY",6
"512","Redskins outlast lowly Eagles as RG III returns http://t.co/3vby0vj8",8
"513","@jamaal103s @nfl if skins clinch next week it's gotta be RGIII #ROY if not , than real tough call",1
"514","I can't emphasize enough how my life here in Dallas will be a living hell if Cowboys beat the Redskins next week to take that playoff spot.",1
"515","RT @RobCarlinCSN: It's official!! #Redskins game with Cowboys flexed to 8:20 Sunday night.. FedEx will be electric!! #RedskinsTalk",10
"516","@john_keim Also I think the @Redskins have some great people covering them. Your insight and (cont) http://t.co/a4Vq2AdP",6
"517","Sigh just a quick few hours at work but sall good since redskins won!",5
"518","@KDTrey5 can I get a rt for them redskins!!! Winning 6 straight#HTTR",6
"519","See this @L_Burna18? MT: @PostSports

#NFL announces #Redskins - #Cowboys game next Sunday will be moved to  8:20 p.m. time slot on NBC.",10
"520","http://t.co/tIT0kwiS.Week16.(23 dec).WAS.Redskins.vs.PHI.Eagles.720p  by Nepotu",6
"521","Redskins outlast lowly Eagles as RG III returns http://t.co/S3gvczAI",8
"522","Redskins are going to win the nfc east @ESPN_FirstTake",9
"523","@ChrisOBrien83 redskins game late one sunday night.",10
"524","RT @BieberReject: ""Dallas Cowboys suck"" 5 Time Super Bowl Champions, NFL winners  1971, 1977, 1992, 1993, 1995, Plus a DC stadium that's ...",6
"525","So, now I'm a Redskins, Packers, and Lions fan... #NYGiants",6
"526","#Redskins alene i front af NFC East - http://t.co/ILnyM3D5 #Cowboys #Giants #Eagles #nfldk",6
"527","RT @Snide_Remarks: Woke up to see the #Redskins - #Cowboys game is now 8:20. Hope I wake up tomorrow to bigger surprises.",6
"528","RT @Trollurtimeline: NFC EAST:
1. GIANTS 10-6
2. COWBOYS 9-7
3. EAGLES 9-7
4. REDSKINS 4-12",6
"529","RT @BEE_BOSSY: S/O to the Redskins for that W yesterday!",6
"530","Damn finish line already sold out size 12 on that redskins color way 9 #Gay.",6
"531","Finally a #Redskins v. #Cowboys game with something on the line....PLAYOFFS! http://t.co/xGBbjPoT #nflplayoffs #nfl",6
"532","Who really cares about #NFL fans in Europe??? #justsayin  @cjscriven @dcsportsbog @TarikCSN #Skins #Cowboys #wakeupearly #watchsoccer",6
"533","@recordsANDradio Irvin & Rod Smith had 65 total career td's. Their in HOF. Moss too? Remains to be seen.
#httr #Redskins",7
"534","#Redskins are 9 and 6. They will make the playoffs.",4
"535","That's right! Hehe! ESPN NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts t...  http://t.co/RvgJq7lI",10
"536","It's Dallas Week - Get Pumped #Redskins #HTTR
http://t.co/eg453hL6",7
"537","The biggest NFL game next week RedSkins vs Cowboys lol @dan_marchese",1
"538","@J_Panama @ESPN_FirstTake ""REDSKINS""!",9
"539","very excited for next Sunday.  my first Cowboys/Redskins game.  AND IT ACTUALLY MEANS SOMETHING.... http://t.co/ow2vBsM6",6
"540","@_baaaaaaaased redskins",6
"541","New Orleans Saints hold off Dallas Cowboys' late rally for OT win http://t.co/Pr7MCsOS",6
"542","Redskins vs. Eagles: Washington Defense Beginning to Shine Approaching Playoffs http://t.co/T4Y6WRch",6
"543","@202SOLE lmaaaooo, should've scooped them to rock for that Redskins playoff run",6
"544","Redskins outlast lowly Eagles as RG III returns",8
"545","@NFL_AM What do the Redskins have to do to get respect from you guys. Did you guys not watch the Thanksgiving game.",6
"546","Duh @Redskins #Redskinsnation #HTTR RT @ESPN_FirstTake: Who do you have winning the NFC East?",9
"547","@Wale since your from D.C. HOW BOUT THE REDSKINS!!!",6
"548","Ok, #Redskins fans, I need a good ""Dallas Sucks"" avatar for Dallass week.",6
"549","@ESPN_FirstTake Washington Redskins 
RG3 my man!!",9
"550","RT @Jeff_McLane: #Eagles fall short against #Redskins, 27-20. @ZBerm has it all here in his game story: http://t.co/h934UMpN",6
"551","How Will the NFC East Logjam Sort Itself out in Time for Playoffs? http://t.co/Xrql3Q2c #cowboys #nfl",6
"552","Redskins need to prove everybody wrong #eastchamp",6
"553","@wyche89 Cowboys or Redskins? Opinion?",6
"554","So they moved the redskins vs cowboys game to 8:20. I'm still in there. 👍😬☺",10
"555","Time to Bench the Redskins | Sports Business Insider:http://t.co/her9zuou … … … … ESPN NFL TMZ Egypt NewTown #Racism Hate #Bullying December",6
"556","@ESPN_FirstTake The Washington Redskins cause Romo will FOLD...",9
"557","RT @mr_dredlocks: Dallas Cowboys. RT @ESPN_FirstTake: Who do you have winning the NFC East? // Redskins",9
"558","@bfnupe90 RT @espn RT @ESPNNFL BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET",10
"559","@noreaga yup...next week when cowboys beat redskins",1
"560","Cherokee Xotic Eyes Gold Red Glitter Eye Paint American Indian Costume Washington Redskins: Get a professional m... http://t.co/FESSnTqI",6
"561","im still a #Giants fan but im goin for the #Redskins in this playoff @VivaLa_Cam gotta be hype lol",6
"562","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/K1diOhYs",2
"563","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/8Ddw58MK",2
"564","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/4CznPQfO",2
"565","Redskins close in on NFC East title http://t.co/hwl5S3WK",2
"566","RT @Manny_PPI: For the #Redskins, it's simple - #BeatDallas | http://t.co/k8woTR6H",6
"567","Redskins already ready for the Cowboys http://t.co/3UdnDCkX",2
"568","Redskins already ready for the Cowboys http://t.co/dDHBHrGJ",2
"569","Redskins already ready for the Cowboys http://t.co/U7DdL6UB",2
"570","Redskins already ready for the Cowboys http://t.co/dgbyXQJY",2
"571","Redskins already ready for the Cowboys http://t.co/l90gaF7y",2
"572","Redskins already ready for the Cowboys http://t.co/WaRiu8GH",2
"573","Redskins already ready for the Cowboys http://t.co/VrFABtdC",2
"574","Redskins already ready for the Cowboys http://t.co/Egsr4pOR",2
"575","Redskins already ready for the Cowboys http://t.co/oje0VvXD",2
"576","Redskins already ready for the Cowboys http://t.co/EVyAvf64",2
"577","Redskins already ready for the Cowboys http://t.co/SJEl8lba",2
"578","Redskins already ready for the Cowboys http://t.co/UmARwcZU",2
"579","Redskins already ready for the Cowboys http://t.co/77WmEicp",2
"580","Redskins already ready for the Cowboys http://t.co/6zdsD3cH",2
"581","Redskins already ready for the Cowboys http://t.co/prcN3qfZ",2
"582","Redskins already ready for the Cowboys http://t.co/flE25L1K",2
"583","Redskins already ready for the Cowboys http://t.co/ZKRaKrCc",2
"584","Redskins already ready for the Cowboys http://t.co/nVEcGR48",2
"585","Redskins already ready for the Cowboys http://t.co/hABu8TnD",2
"586","Redskins already ready for the Cowboys http://t.co/dOUtfH2k",2
"587","Redskins already ready for the Cowboys http://t.co/JjnrUOBK",2
"588","Redskins already ready for the Cowboys http://t.co/so3RSn4N",2
"589","Redskins already ready for the Cowboys http://t.co/q9uhJN5E",2
"590","Redskins already ready for the Cowboys http://t.co/TzmkXBNa",2
"591","Redskins already ready for the Cowboys http://t.co/1Ki2M0Jv",2
"592","Redskins already ready for the Cowboys http://t.co/FvLDvl0I",2
"593","Redskins already ready for the Cowboys http://t.co/M8XGgun7",2
"594","Redskins already ready for the Cowboys http://t.co/PYXq6ySs",2
"595","Redskins already ready for the Cowboys http://t.co/9cYph0K8",2
"596","Redskins already ready for the Cowboys http://t.co/959bwISc",2
"597","Redskins already ready for the Cowboys http://t.co/t5W2XniN",2
"598","Redskins already ready for the Cowboys http://t.co/S451oyEr",2
"599","Redskins already ready for the Cowboys http://t.co/aHKu2zql",2
"600","Redskins already ready for the Cowboys http://t.co/b6tdRZEM",2
"601","Redskins already ready for the Cowboys http://t.co/G8Cm8tP3",2
"602","Redskins already ready for the Cowboys http://t.co/usFQXV54",2
"603","Redskins already ready for the Cowboys http://t.co/PiPItczx",2
"604","Redskins already ready for the Cowboys http://t.co/BP6nAXeD",2
"605","@drjfigueroa @eagles @eaglesnflfans @manuelsalmeida jejeje, le voy a los Eagles contra los Giants y @Redskins on SNF for the NFC East!",6
"606","Redskins already ready for the Cowboys http://t.co/cmlOCmu0",2
"607","Redskins already ready for the Cowboys http://t.co/KRasRLlC",2
"608","@DezBryant keep doing your thing & need you to turn it up on the redskins",6
"609","Battering Santa- /
Openly urinating- /
Welcome to Philly. /
#haiku #Redskins #taters #eagles #football",6
"610","#NFL moves the big clash #Cowboys-#Redskins to Sunday night - Who will win?",10
"611","Cowboys and Redskins face off for a playoff spot Sunday night! Skins can lose and possibly make it Cowboys can't. But the winner is in!",10
"612","@patzocaval same lol. but they should be there. #redskins",6
"613","How about those DMV teams!! Ravens and redskins!!",3
"614","Cowboys-Redskins flexed to Sunday Night Football in Week 17 http://t.co/z8FsbO6c via @ProFootballTalk",10
"615","#NFLRankings Falcons #1; Broncos #2; Patriots #3; Texans #4; Seahawks #5; Packers #6; 49ers #7; Redskins #8; Ravens #9; Colts #10.",3
"616","number 1 in the NFC EAST??... o dats dim REDSKINS!!!!! #YAHEARD",6
"617","Gotta love http://t.co/b8y7Y4cm. Headliine on NFC playoff picture story: ""Cowboys still in control.""  WHAT?",6
"618","RT @DallasCowboysup: Cowboys-Redskins off to prime time - ESPN http://t.co/Q8LJAY3M",8
"619","RT @SNFonNBC: Our Week 17 game will be (as announced by Al)  @dallascowboys and @Redskins #SNF.",1
"620","@ESPN_FirstTake REDSKINS ALLDAY!",9
"621","PHOTOS: Redskins 27, Eagles 20: http://t.co/SPnagWDp",6
"622","@czabe catching up on yesterday tweets. Loved watching the drama unfold w/game and your family atmosphere! #HTTR #Redskins",7
"623","@TobaccoRd_30815 we gon beat redskins...we gon hurt rg3 that game..1st quarter",1
"624","Som ventet er #Redskins vs. #Cowboys rykket til SNF i sidste runde #nfldk",6
"625","2:20 am start for me in France.  Others?   @imhopper Not to mention fans in the Middle East. Ugh. #Redskins #Cowboys #ExPatSkinsFans",6
"626","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound of Music
  Bruno ...  http://t.co/10btWOwP",4
"627","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound of Music
  Bruno ...  http://t.co/Ag8B20Sw",4
"628","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sou...  http://t.co/upE1x2FT",4
"629","Trending Online: Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound o...",4
"630","morning all…great day to be a #REDSKINS fan",6
"631","Cowboys playoff picture is clear: beat the Redskins next week and they're in http://t.co/ISyUdkQv",1
"632","Redskins=Hate Merry Christmas Eve #TheekHai #WhyYoJordanSign #nowplaying Feliz Navidad #15thingsilove Boxing Day #business #ESPN=EVIL LA GI",6
"633","Redskins rookie RB Alfred Morris has 1413 rushing yards, 103y short of the 'Skins single-season record of 1516 held by Clinton Portis. #httr",7
"634","@TorreySmithWR I'm a Redskins fan but much respect and appreciation for what you do in our community.",6
"635","It's our turn #REDSKINS",6
"636","[Trending on Google] * Happy Holidays * NFL playoff picture * Dallas Cowboys * Russell Wilson * Santa tracker * Sound of Music * Bruno...",4
"637","Cowboys-Redskins moved to Sunday night http://t.co/WtNIqTte",10
"638","RT @MikeCornejo: Redskins rookie RB Alfred Morris has 1413 rushing yards, 103y short of the 'Skins single-season record of 1516 held by  ...",6
"639","RT @jcanda: very excited for next Sunday.  my first Cowboys/Redskins game.  AND IT ACTUALLY MEANS SOMETHING.... http://t.co/ow2vBsM6",6
"640","@PostSports  Time for a new tradition. #WashingtonWeek starts right now. #Redskins",6
"641","""It's one thing to get into the playoffs it's another thing to do so by beating your nemesis"" @MarkKriegel. And #Redskins shall on Sun nite",6
"642","One time for the Redskins 👏👏 #Clique ❤💛",6
"643","Per a friend of mine: Raheem Morris buying drinks, joining in on ""F-Dallas!"" chant at Ashburn Original Steakhouse last night. #Redskins",6
"644","👎""@Ms_AshUhLee: One time for the Redskins 👏👏 #Clique ❤💛""",6
"645","@IMjustMe_ASH REDSKINS",6
"646","@AdamSchefter how would the playoffs look if redskins/cowboys tie & giants win?",6
"647","@Redskins Prime time against the Cowboys for a very meaningful game. Doesn't get any better than this. HTTR!",7
"648","""@TheJadax: It's our turn #REDSKINS"" @Ellis_2Reckless",7
"649","RT @SkinsGoldPants: @PostSports  Time for a new tradition. #WashingtonWeek starts right now. #Redskins",6
"650","RT @ESPNRadio980: No announcement yet on whether Washington/Dallas will be flexed to SundayNightFootball. NFL has until tomorrow at noon ...",6
"651","Jason Witten of Dallas Cowboys sets NFL mark for TE catches: With a 5-yard catch in overtime against New Orleans... http://t.co/7jbBbxHs",6
"652","Jason Witten of Dallas Cowboys sets NFL mark for TE catches: With a 5-yard catch in overtime against New Orleans... http://t.co/q6eNZsF7",6
"653","- These Guys Are Talking About Some Redskins. . . .WhoTF Is That? lol",6
"654","Redskins first in the division!",6
"655","@FirstName_Ant #REDSKINS indeed it is #HTTR",7
"656","@dallascowboys pick ur heads up and start 2 focus on washington from now @DezBryant @MoClaiborne @JasonWitten @DeMarcoMurray @MilesAustinIII",6
"657","Video: GameDay: Washington Redskins vs. Philadelphia ... http://t.co/oaeJhFUd #NFL #WashingtonRedskins",6
"658","Redskins vs. Eagles, Week 16: Washington victory sets up showdown vs. Dallas: Robert Griffin III returned to the... http://t.co/hesknGmc",6
"659","Sunday Night is for Champions not Chumps LET'S GO @REDSKINS BEAT DALLAS!!!! #HTTR #redskinstalk",7
"660","RT @TheTruDET The Skins/Cowboys game flexed to Sunday Night. There is not better rivalry in NFL and it should be on prime time every year.",10
"661","RT @FlyAssMarleyG: 👎""@Ms_AshUhLee: One time for the Redskins 👏👏 #Clique ❤💛""",6
"662","[GOOGLE TRENDS] Happy Holidays, NFL playoff picture, Dallas Cowboys, ...",4
"663","the #houstontexans & #niners lose..:( but washington still in it & #seahawks look dangerous <3 #nfl",6
"664","Cowboys/Redskins play next Sunday Night for the NFC East Division. #NFC #Redskins #Cowboys",10
"665","GM family! Christmas Eve be safe out there doing that last minute shopping!!!! All I want is a Redskins win!!!!",6
"666","I cant lie i was excited tto see rg3 in the nfl but I never thought his rookie season woul cause me so much pain",6
"667","#httr #redskins #cowturds SportsNation Poll http://t.co/T9nGoP5d",7
"668","RT @HTTR24_7: Film shows the #Redskins defense still having errors in coverage. Difference is Foles & Weeden didn't see it to take a ...",7
"669","@NattyBo sounds like you’re due for a visit from The Ghost of Redskins Past",5
"670","Source # 1: Traditional QB rating before yesterday: RGIII (2), R. Wilson (#7) and A. Luck (#29) http://t.co/mZV6kFvK",6
"671","Need  packers to beat the vikings, and the lions to beat the bears. And the redskins to win next week to get the wild card lol #TeamGiants",1
"672","@ESPN_FirstTake #Dallascowboys in a close game with the #redskins",9
"673","RT @Ayoo_argeliooo: I cant lie i was excited tto see rg3 in the nfl but I never thought his rookie season woul cause me so much pain",6
"674","Source #2: ESPN QBR before yesterday: 
RGIII (#6), R. Wilson (#8) and A. Luck (#13) http://t.co/PD69UWNl",6
"675","@MichaelVonW @SpringsProgress @Morning_Joe @hardball_chris How about those RedSkins! My love of them followed me to PHX.",6
"676","RT @OutsideBoxScore: London Fletcher pukes on Washington Redskins sidelines (Video) http://t.co/oOOe9aQG",6
"677","@Ayo_breZZy Redskins win. 49ers lose. •cue last laugh•",6
"678","Los WASH #Redskins han ganado 6 consecutivos x 1ª vez desde 1996. Se enfrentaran a Dallas el prox domingo. El ganador se lleva la Division.",6
"679","Hail to the Redskins! RT @WarrenSapp Good morning. Victory Monday & Christmas Eve!!",6
"680","RG3 is too good for the redskins organization.  He's just too smart an too good for the foreskins they don't deserve him.",5
"681","NFL Dallas Cowboys Bradie James GAME WORN REEBOK GLOVES LOW BID!! on eBid United States http://t.co/EEAhuy7m via @ebid",6
"682","RT @Bufordtw: Congrats @KaiForbath keep it going #Redskins",6
"683","Stubhub lowest ticket for a non standing room ticket for the Redskins-Cowboys game on Sunday is $329.00 #Redskins",6
"684","#TwitNewsNow New Orleans Saints Drew Brees on OT win over Dallas http://t.co/ITYHp2Zm #NFL",6
"685","#TwitNewsNow Saints beat Cowboys 34-31 in overtime http://t.co/1TVlrfw9 #NFL",6
"686","My prediction: RGIII gets hurt next week and Kirk leads the Redskins to a Super Bowl",1
"687","@CoopaSteady I'm only worried about that Lions one.. I'm sure the Packers and Redskins will win.",6
"688","RT @drunkcoatesy: ""@johnclarknbc10: Cowboys-Redskins flexed to NBC next Sunday night"" Sitting Bull is Probable...Custer to start.",10
"689","@LaurenShehadi This Sunday is gonna be the proudest moment ever to be a Redskins fan!!",6
"690","NBD Never Been to Dallas Fund - http://t.co/wFvKerIw
#Cowboys #Redskins #HTTR",7
"691","i'm so proud of my skinssss thoo !!!!!!!!!!!!!!!!!!! they're killing it !!! 
#REDSKINS",6
"692","Reports of a dead rivalry have been exaggerated. #Redskins #Cowboys",6
"693","ICYMI: If u gotta blame someone for Cowboys' loss, start with offense http://t.co/FO4KJaco",6
"694","So the cowboys have gotten blown out by division teams week 17 in 08, and last year. Lets go redskins #RG3 #AthleteSwag",6
"695","Ok re last tweet got it sussed as it stands we go to #Redskins and a win would take us to either #Falcons or #Packers; bring it on #12thMan",6
"696","RG3 look like Andre 3000 #Redskins #Outkast",5
"697","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/DqeA8ZFW",4
"698","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/lYyTbiLe",4
"699","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/EVwoR57C",4
"700","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/QJ0mIl9h",4
"701","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/5Go6ytE6",4
"702","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/f0IAwgiw",4
"703","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/3MB2yo2u",4
"704","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/2JVTp02m",4
"705","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/ehFgGuyQ",4
"706","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/HmiqOErZ",4
"707","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/E1yIG5jf",4
"708","Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/0d2k0Bl5",4
